Type of work,Experience,Employment Type,Operating mode,Job ID,Job Title,Employer Name,Job Description,Salaries,Category,min,max,type
Full-time,Mid,B2B,Remote,547,Data Engineer,edrone,"We're a hard-working, fun-loving, get-things-done type of team dedicated to providing unique marketing automation solutions for clients. We understand the challenges of eCommerce and the importance of seamless customer service and satisfaction. We roll our sleeves up, act fast, and learn together. We're looking for a Data Engineer who will do the same! 🚀 Who are we? Edrone is a SaaS-based product that helps thousands of small and medium-sized businesses compete with major brands. Our mission is to provide simple solutions to big challenges in eCommerce. We achieve results through a strong feedback culture and clearly defined, transparent expectations. Currently, we work with nearly 2,000 online stores — primarily in Poland and Brazil. Brands such asBielenda,Mosquito,2005,orLilouhave placed their trust in our product. If you want to learn more about our culture and what it’s like to work at edrone, check it outhere. Our social media: LinkedIn,Instagram,YouTube. Sounds great? Keep on reading! ✨ What’s in it for you: Be part of a small, fast-paced team that values innovation, efficiency, and a positive work culture. We thrive on challenges, embrace change, and keep things moving. We value initiative and ownership—if something makes sense, we act on it quickly and take full responsibility for delivering it. Direct responsibility for projects, regular 1: 1s with your leader with a blameless postmortems, code reviews B2B contract (15-20k) & covering all the costs of accounting services Hybrid or remote work or a modern, well-equipped office - whatever you prefer! 26 paid days off so you can relax properly! Benefits - MultiSport card, LuxMed medical package, group accident insurance, English classes, and Hedepy - a portal for mental health and development 🚀 How you will spend your time: Backend System Development Design, build, and maintain robust Python-based services and microservices Develop and optimize RESTful APIs and background services supporting core business logic and integrations Ensure code quality, reusability, and scalability through modular design and adherence to best practices Cloud-Native Application Engineering Develop serverless and containerized applications usingAWS Lambda,ECS, and other cloud-native tools LeverageAWS services(S3, RDS, DynamoDB, Step Functions, etc.) to support backend operations and workflows Collaborate with DevOps to provision, deploy, and monitor cloud infrastructure Automation and Task Orchestration Automate recurring tasks, background jobs, and workflows using Python scripts and AWS orchestration tools Build and maintain task schedulers and asynchronous workers for time-sensitive operations Implement monitoring, logging, and alerting systems for observability and proactive issue resolution Data Access and Integration Build data access layers and connectors for interfacing with relational and NoSQL databases Develop data integration scripts or services to move and sync data between systems when needed Write efficient, production-grade SQL and Python code to support internal tools and services Contribute to Innovation and Excellence Stay informed on modern Python practices, libraries, and AWS developments Take initiative in proposing improvements and new ideas to enhance our platform 👀Who you are: 3+ years of experienceas a Data Engineer. Hands-on experience withschema design, complex SQL/query optimization,and running data pipelines in production. Experienced withAWS services (Redshift, Aurora, DynamoDB, S3, Glue, Lambda, Step Functions, etc.)to build data pipelines and scalable cloud-native applications. dbtexperience (or strong SQL/ELT background and eagerness to learn dbt quickly). Familiarity withdata orchestration tools(e.g., Airflow, Step Functions) — scheduling, monitoring, and troubleshooting data pipelines. Ability tobuild and maintain RESTful APIs/microservicesin Python (e.g., FastAPI/Flask) and understand basic backend architecture. 👀 It’s nice if you have: Experience in Java is a plus. 📝How does the recruitment process look like: A 30-minute phone interview with the recruiter -Milena Micor, where we aim to get to know you a little better! A technical online interview with theTeam Lead Krystian Andruszek and another panelist A short call with ourCTO – Maciej Mendrela– where we’ll share more about the direction of our organization and how we see this role evolving Decision regarding the offer and welcome on board! ⭐ After each stage, you will always receive feedback regarding your candidacy.","[{""min"": 15000, ""max"": 20000, ""type"": ""Net per month - B2B""}]",Data Engineering,15000,20000,Net per month - B2B
Full-time,Senior,Permanent or B2B,Remote,549,Senior Data Engineer,N-iX,"#3071 We are seeking a proactive Senior Data Engineer to join our vibrant team. As a Senior Data Engineer, you will play a critical role in designing, developing, and maintaining sophisticated data pipelines, Ontology Objects, and Foundry Functions within Palantir Foundry. The ideal candidate will possess a robust background in cloud technologies, data architecture, and a passion for solving complex data challenges. Key Responsibilities: Collaborate with cross-functional teams to understand data requirements, and design, implement and maintain scalable data pipelines in Palantir Foundry, ensuring end-to-end data integrity and optimizing workflows. Gather and translate data requirements into robust and efficient solutions, leveraging your expertise in cloud-based data engineering. Create data models, schemas, and flow diagrams to guide development. Develop, implement, optimize and maintain efficient and reliable data pipelines and ETL/ELT processes to collect, process, and integrate data to ensure timely and accurate data delivery to various business applications, while implementing data governance and security best practices to safeguard sensitive information. Monitor data pipeline performance, identify bottlenecks, and implement improvements to optimize data processing speed and reduce latency. Troubleshoot and resolve issues related to data pipelines, ensuring continuous data availability and reliability to support data-driven decision-making processes. Stay current with emerging technologies and industry trends, incorporating innovative solutions into data engineering practices, and effectively document and communicate technical solutions and processes. Tools and skills you will use in this role: Palantir Foundry Python PySpark SQL TypeScript Required: 5+ years of experience in data engineering, preferably within the pharmaceutical or life sciences industry; Strong proficiency in Python and PySpark; Proficiency with big data technologies (e.g., Apache Hadoop, Spark, Kafka, BigQuery, etc.); Hands-on experience with cloud services (e.g., AWS Glue, Azure Data Factory, Google Cloud Dataflow); Expertise in data modeling, data warehousing, and ETL/ELT concepts; Hands-on experience with database systems (e.g., PostgreSQL, MySQL, NoSQL, etc.); Proficiency in containerization technologies (e.g., Docker, Kubernetes); Effective problem-solving and analytical skills, coupled with excellent communication and collaboration abilities; Strong communication and teamwork abilities; Understanding of data security and privacy best practices; Strong mathematical, statistical, and algorithmic skills. Nice to have: Certification in Cloud platforms, or related areas; Experience with search engine Apache Lucene, Webservice Rest API; Familiarity with Veeva CRM, Reltio, SAP, and/or Palantir Foundry; Knowledge of pharmaceutical industry regulations, such as data privacy laws, is advantageous; Previous experience working with JavaScript and TypeScript.","[{""min"": 18470, ""max"": 19579, ""type"": ""Net per month - B2B""}, {""min"": 14776, ""max"": 15515, ""type"": ""Gross per month - Permanent""}]",Data Engineering,18470,19579,Net per month - B2B
Full-time,Mid,B2B,Hybrid,550,GenAI Productivity Analyst,ITDS,"GenAI Productivity Analyst Join us, and lead the charge in AI-powered developer tools! Kraków - based opportunity with hybrid work model (6 days/month in the office). As a GenAI Productivity Analyst, you will be working for our client, a global financial services leader pioneering developer productivity enhancements through innovative data science projects. Your role focuses on advancing the initial proof-of-concept linking GenAI coding assistant usage to developer productivity, operationalizing these insights, and identifying actionable patterns and use cases. Collaborating with data scientists and programme teams, you will help unlock industry-leading knowledge that supports developer performance improvements across thousands of users, setting new standards in GenAI adoption and value realization within a complex, fast-paced environment. Your main responsibilities: Reviewing and enhancing the existing GenAI CA Productivity Analysis proof-of-concept Developing a future roadmap and delivery strategy for GenAI CA productivity insights Identifying specific use cases and technical patterns where GenAI CAs impact productivity most Highlighting challenges, accelerators, and best practices for GenAI CA adoption Contributing to a data science strategy for measuring GenAI CA benefits Gathering, analyzing, and interpreting SDLC, Deployment, and DORA metrics data Collaborating with data analysts and scientists to refine analytical models and methodologies Defining delivery strategy, phased plans, and MVP implementation objectives Communicating actionable insights clearly to senior stakeholders Supporting delivery teams with inputs to develop initiatives improving GenAI CA benefits for developers You're ideal for this role if you have: Proven experience in data analysis within software development contexts Strong understanding of SDLC, Deployment, and DORA metrics and their impact on developer productivity Experience translating data analysis into actionable business or operational insights Familiarity with GenAI technologies, specifically coding assistants like GitHub Copilot Proficiency in data analytics and processing tools such as Python, R, SQL, or Jupyter notebooks Solid knowledge of data modeling concepts Experience working in global matrix organizations and cross-cultural environments Excellent written and verbal communication skills in English, including report and presentation creation Ability to work independently in a fast-paced, dynamic environment with tight deadlines Strong interpersonal and influential communication skills It is a strong plus if you have: Exposure to machine learning libraries such as Scikit-learn, XGBoost, Keras, or PyTorch Track record in knowledge acquisition, transfer, and community building processes Experience rewriting or refining English content authored by non-native speakers Willingness to explore and implement emerging technologies Prior experience contributing to developer productivity or adoption programs We offer you: ITDS Business Consultants is involved in many various, innovative and professional IT projects for international companies in the financial industry in Europe. We offer an environment for professional, ambitious, and driven people. The offer includes: Stable and long-term cooperation with very good conditions Enhance your skills and develop your expertise in the financial industry Work on the most strategic projects available in the market Define your career roadmap and develop yourself in the best and fastest possible way by delivering strategic projects for different clients of ITDS over several years Participate in Social Events, training, and work in an international environment Access to attractive Medical Package Access to Multisport Program Access to Pluralsight Flexible hours & remote work Internal job number #7159 You can report violations in accordance with ITDS’s Whistleblower Procedure available here .","[{""min"": 23100, ""max"": 29400, ""type"": ""Net per month - B2B""}]",Data Analysis & BI,23100,29400,Net per month - B2B
Full-time,Senior,Permanent,Remote,552,Senior/Lead Data Scientist,Link Group,"Dołącz do zespołu, który wykorzystuje dane, by ulepszać procesy logistyczne. Szukamy osoby o analitycznym umyśle, która potrafi przekształcać liczby w konkretne działania i wspierać decyzje operacyjne. Twoje zadania: Oczyszczanie i przygotowanie danych do analiz i testów Budowa i doskonalenie modeli uczenia maszynowego Weryfikacja modeli, wyciąganie wniosków i prezentowanie wyników Współpraca z zespołami biznesowymi i technologicznymi Proponowanie nowych sposobów usprawnienia procesów na podstawie danych Czego oczekujemy: Umiejętności programowania w Pythonie lub R Znajomości SQL oraz środowisk danych, takich jak Databricks lub Snowflake Doświadczenia w pracy z modelami ML i ich wdrażaniem Podstaw matematycznych (algebra, statystyka, rachunek różniczkowy) Zdolności analitycznych i praktycznej znajomości takich metod jak regresje, drzewa decyzyjne, prognozowanie szeregów czasowych Umiejętności wizualizacji danych (np. z matplotlib, seaborn, ggplot2) Nice to have: Doświadczenie w środowisku produkcyjnym ML Wiedzę z zakresu łańcucha dostaw lub logistyki","[{""min"": 20000, ""max"": 28500, ""type"": ""Gross per month - Permanent""}]",Data Science,20000,28500,Gross per month - Permanent
Full-time,Mid,B2B,Remote,553,Programista Baz danych,Eyzee S.A.,"Poszukujemy Programistów Baz danych, którzy mają doświadczenie w projektowaniu i eksploatacji baz danych dla naszego klienta w branży medycznej. Celem projektu jest opracowywanie i wdrażanie innowacyjnych rozwiązań, programowanie nowych funkcjonalności, rozwijanie, modyfikowanie i testowanie oprogramowania. Tworzymy przyjazne miejsce pracy i rozwoju dla specjalistów w branży IT, zapewniamy ciekawe wyzwania, dbając o dobrą komunikację i atmosferę w zespole. Z nami przyspieszysz rozwój swojej kariery! Praca zdalna, pełen etat. Zadania dla Ciebie: projektowanie, implementacja i utrzymanie struktur relacyjnych baz danych (np. PostgreSQL, MySQL, MSSQL, Oracle) dla systemu medycznego tworzenie i optymalizacja logiki biznesowej w bazie danych przy użyciu języków proceduralnych (np. PL/SQL, PL/pgSQL), w tym procedur składowanych, funkcji i wyzwalaczy pisanie złożonych i wydajnych zapytań SQL oraz skryptów do zarządzania danymi i ich przetwarzania zapewnienie integralności, bezpieczeństwa i optymalnej wydajności bazy danych współpraca z zespołem deweloperskim i analitykami w celu realizacji wymagań projektowych Wymagania: min. 5 lat doświadczenia w pracy z relacyjnymi bazami danych (np. PostgreSQL, MySQL, MSSQL, ORACLE) praktyczne doświadczenie w programowaniu w proceduralnych językach bazodanowych (np. PL/SQL, PL/pgSQL) znajomość technik migracji danych pomiędzy różnymi platformami bazodanowymi i systemowymi biegłej znajomości SQL doświadczenie z bazą danych PostgreSQL. umiejętność strojenia zapytań SQL i procedur PL/pgSQL. znajomość zasad zarządzania, konfiguracji i optymalizacji PostgreSQL Mile widziane: doświadczenie w branży medycznej Co oferujemy? stabilne zatrudnienie w oparciu o kontrakt B2B służbowy laptop i monitor dofinansowanie prywatnej opieki medycznej sportową kartę Multisport nauka języka angielskiego omawianie postępów i rozwoju co pół roku transparentna komunikacja z pracownikami możliwość zaangażowania się w rozwój organizacji chętnie dzielimy się wiedzą - dołącz do Akademii Eyzee mocny kompetencyjnie zespół składający się w większości z seniorów praca z narzędziami JIRA, Confluence, BitBucket dbamy o integracje i chętnie wspólnie spędzamy czas Kim jesteśmy? Jesteśmy polską firmą specjalizującą się w realizacji złożonych projektów informatycznych oraz doradczych dla firm z sektora finansowego, telekomunikacyjnego i publicznego. Stanowimy zgrany zespół konsultantów z wiedzą i wieloletnim doświadczeniem w tworzeniu i utrzymywaniu rozwiązań. Ważne dla nas są: doprecyzowanie wymagań przed napisaniem kodu, jakość tworzonego kodu, testowanie oraz CI/CD. Nasze projekty to głównie tworzenie nowych mikroserwisów lub nowych funkcjonalności do istniejących rozwiązań. Dodatkowo rozwijamy własne aplikacje i plugin’y, które nie tylko usprawniają pracę, ale też pozwalają rozwinąć nasze doświadczenie. Jeden z nich możesz pobrać tutaj (eZee Worklog). Jesteśmy partnerem Atlassian.","[{""min"": 15000, ""max"": 21000, ""type"": ""Net per month - B2B""}]",Database Administration,15000,21000,Net per month - B2B
Full-time,Mid,B2B,Hybrid,555,Developer Hurtowni Danych,Clurgo,"Clurgo to firma stworzona przez developerów dla developerów. Odnajdą się u nas pasjonaci nowych technologii takich jak Java, Node, Frontend, jak i mikroserwisów. Jesteśmy firmą projektową skupioną na dostarczaniu rozwiązań IT dla naszych Klientów, przy zachowaniu dobrych praktyk programistycznych oraz work-life balance. Realizujemy projekty dla różnych branż - od małych projektów start-upowych, przez wysokobudżetowe projekty dla międzynarodowych firm. ✅Dołącz do projektu dla klienta z branży ubezpieczeń, gdzie Zespół Rozwoju Narzędzi HD/BI rozwija Hurtownię Danych w oparciu o technologie SAS i Oracle, jednocześnie eksplorując nowe rozwiązania jak Azure, Kafka czy REST API. Będziesz wspierać zespoły biznesowe Hurtowni Danych oraz prowadzić projekty Proof of Concept nowych narzędzi ✅Technologie i narzędzia: SAS, Oracle, Azure, Kafka, REST API ✅Praca hybrydowa (1 raz w tygodniu w biurze w Warszawie) ✅Praca w metodyce SCRUM Szukamy Ciebie, jeśli: 👉posiadasz doświadczenie w projektowaniu rozwiązań z zakresuHurtowni Danych i Business Intelligence 👉dobrze znasz narzędzia / środowiska SAS i SAS Viya (DI Studio, Enterprise Guide, SAS Studio, Visual Analytics) 👉masz doświadczenie w pracy z Oracle (mile widziane doświadczenie z Oracle Exadata i PL/SQL) 👉znasz zagadnienia i technologie CI/CD (Git / Bitbucket / Bamboo / JIRA) Zadania: budowa narzędzi wspomagających pracę developerów Hurtowni Danych - m. in. wspólne re-używalne komponenty (SAS / SAS Viya / Oracle / inne technologie) budowa API łączącego wykorzystywane w HD technologie (SAS / SAS Viya/Oracle / Office365 / REST API / inne technologie) budowa narzędzi wspomagających wymianę danych pomiędzy systemami informatycznymi m. in. Kafka POC nowych narzędzi/technologii do potencjalnego wdrożenia w HD m. in. SAS Viya & Exadata w chmurze Azure budowa narzędzi monitorujących aktywność użytkowników HD udział w pracach optymalizujących przetwarzania HD, poprzez budowę wspierających komponentów a także punktowe analizy i optymalizacje przetwarzań budowa technicznych data mart-ów oraz raportów BI (m. in. w SAS Viya lub Power BI) wsparcie projektów strategicznych w aspektach technologicznych Czego możesz się spodziewać? Współpracy w oparciu o kontrakt B2B Onboarding w biurze w Warszawie (dobrze skomunikowana lokalizacja) Pracy hybrydowej 1 raz w tygodniu z biura w Warszawie Prawdziwego work-life balance - w tej kwestii nie wierzymy w półśrodki 👌 Płaskiej struktury i niekorporacyjnej atmosfery 🏃‍♀️Benefitów: opieka medyczna, karta multisport, lekcje języka angielskiego 🙌 Elastycznych godzin pracy 🎉Integracji - lubimy spędzać razem czas Profesjonalnego i procesu rekrutacyjnego – zawsze otrzymasz od nas feedback niezależnie od decyzji. Poznaj nas lepiej👉https: //www.facebook.com/clurgo/","[{""min"": 120, ""max"": 140, ""type"": ""Net per hour - B2B""}]",Data Engineering,120,140,Net per hour - B2B
Full-time,Senior,B2B,Hybrid,559,Senior Data Engineer,Jit Team,"Salary: 1100–1440 PLN net/day ( B2B ) Work mode: Hybrid – 1 day/week in Warsaw or Gdynia office Why choose this offer? You’ll join a long-term , high-impact project focused on modern data processing and software asset management You’ll work with an international team in a cloud-native environment ( GCP , Cloud Run , Pub/Sub , FastAPI ) Opportunity to develop scalable backend systems using Apache Beam and modern serverless patterns Full autonomy in technical decision-making and architecture evolution Stable , long-term collaboration with a global HR industry leader Project You’ll join the Global SAM (Software Asset Management) team responsible for developing a cloud-native , data-driven platform used to analyze and manage enterprise software usage. The system is built on Google Cloud Platform , processes data in near real-time , and integrates with multiple systems using an event-driven architecture . You’ll be responsible for designing and implementing data pipelines , backend APIs, and scalable serverless functions. This is a hands-on engineering role with lots of space for ownership and technical influence . Expected competences and knowledge Solid Python backend development experience, ideally with FastAPI Experience building data pipelines using Apache Beam or equivalent frameworks Familiarity with GCP services, especially Dataflow, Pub/Sub, Cloud Run Understanding of event-driven architecture and observability best practices Experience with CI/CD tools, preferably GitLab Ability to work independently in a distributed team Optional but welcome: knowledge of Google Cloud Firestore Technologies you'll work with Python backend development (FastAPI, data pipelines) Experience with Apache Beam or streaming frameworks Strong knowledge of GCP services (Dataflow, Pub/Sub, Cloud Run) Understanding of event-driven architecture and observability Familiarity with CI/CD workflows (GitLab preferred) Ability to work in a distributed team environment Optional: experience with Firestore or other GCP data stores Client – why choose this particular client from the Jit portfolio? We have partnered with our Client, a leading HR company with over 60 years of experience and a presence in multiple countries around the world. Our Client provides a wide range of recruitment and job placement services and is dedicated to helping individuals achieve their career goals. In Poland, our Client has been operating for over 20 years and is at the forefront of digitization in the HR services industry. Our team has been building the Work Time system for our Client since 2019 , a complex tool for registering and settling the working time of full-time and temporary employees working under different legal and organizational conditions, supporting on-boarding processes, and integrating with the employee portal and mobile app. As a member of Jit Team, you will have the opportunity to work on a modern, complex enterprise-class system built in modern technologies such as Java and the AWS cloud . With a business-critical operation, the Work Time system settles working time for tens of thousands of employees every month and contributes to our Client's revenue. About Jit Team The Human factor of IT - it's not just a slogan, it's a philosophy. The foundation of Jit Team is people, which is why we prioritise you. We employ over 500 experienced experts . We create highly specialised teams for clients from all over the world. We offer team members developmental projects, a wide range of benefits and a proprietary professional development programme. Behind our maxim are also charitable and educational activities. We support pupils and students by donating learning equipment. We offer internships to help launch careers in IT. We support water rescuers and hospitals by providing the necessary equipment. We are a Polish company and we share what we have achieved over 15 years of activity . By supporting indigenous initiatives, we ensure the circulation of good energy.","[{""min"": 22000, ""max"": 28800, ""type"": ""Net per month - B2B""}]",Data Engineering,22000,28800,Net per month - B2B
Full-time,Senior,B2B,Hybrid,560,"Senior Data Engineer – Python, Spark, AWS",Link Group,"We’re looking for aSenior Data Engineerto join a highly skilled team responsible for building a scalable, multitenant data platform that powers data ingestion, transformation, cataloging, and distribution for internal and external stakeholders. This role is central to designing robust data pipelines, integrating modern data lakehouse components, and supporting the company’s AWS-based infrastructure. Design and build scalabledata ingestion pipelinesin AWS Work extensively withDatabricks, including Unity Catalog, streaming, Delta Lake, and data transformation tools Lead technical delivery and implementation of core platform components acrossraw, normalized, operational, and historical layers Collaborate with engineering managers and cross-functional teams across the US and Poland Drive technical excellence by improving team processes, architecture standards, and engineering best practices Support and consult with stakeholders to ensure successful delivery of data-driven solutions Contribute to the growth and maturity of the team’s cloud and data engineering capabilities 5+ years of experience in Pythonand strong software engineering skills Solid knowledge ofAWS cloud servicesand best practices Experience building scalableSparkpipelines inPySparkorScala Practical experience withSpark Streamingfor low-latency pipelines Familiarity withDelta Lakeand modern data lakehouse architectures Hands-on experience withKubernetesand container orchestration Experience withMongoDBand other NoSQL data stores Understanding ofmicroservicesandevent-driven architecture Excellent communication skills and ability to work in a collaborative, global team Commitment to high standards ofethics, quality, and delivery Familiarity withMachine Learning,AI models, orData Science workflows","[{""min"": 35000, ""max"": 40000, ""type"": ""Net per month - B2B""}]",Data Engineering,35000,40000,Net per month - B2B
Full-time,Senior,B2B,Remote,561,Data Architect,Connectis,"Wraz z naszym partnerem z branży ubezpieczeniowej, poszukujemy eksperta/ekspertkina stanowiskoData Architect, który dołączy do strategicznego projektu budowyDataHubu– rozwiązania klasy mini hurtowni danych, wspierającego działalność operacyjną, raportową, analityczną oraz rozwiązania z zakresu generatywnej sztucznej inteligencji. Projektowanie i nadzór nad wdrażaniem skalowalnych, wydajnych modeli danych integrujących wiele źródeł. Tworzenie dokumentacji architektonicznej i mentoring mniej doświadczonych inżynierów. Zapewnienie jakości danych: automatyczna walidacja, wykrywanie anomalii, monitoring. Definiowanie standardów, wzorców i najlepszych praktyk w zakresie inżynierii danych. Projektowanie rozwiązań do przetwarzania danych strumieniowego i wsadowego. Ustalanie polityk dostępu, zasad zarządzania danymi i ram bezpieczeństwa. Bliska współpraca z zespołami DevOps, Data Engineering oraz AI/ML. 🔍CZEGO OCZEKUJEMY OD CIEBIE? Doświadczenie zAzure DatabricksorazAzure DevOps. Bardzo dobra znajomośćMicrosoft Azure. ZnajomośćApache Spark/PySpark. Biegłość wPythoniSQL. Mile widziane: Doświadczenie zDBT (Data Build Tool). Praktyczna znajomość narzędziCI/CD Znajomość modeluData Vault 2.0. ✨OFERUJEMY: Tryb pracy zdalnej z okazjonalnymi spotkaniami zespołu w biurze w centrum Warszawy(raz w miesiącu). Udział w strategicznym projekcie realizowanym dla międzynarodowego Partnera Biznesowego. Realny wpływ na architekturę i rozwój rozwiązania wdrażanego w wielu krajach. Dedykowane wsparcie opiekuna Connectis przez cały czas trwania współpracy. Współpracę z doświadczonym zespołem inżynierów danych i DevOpsów. Możliwość przedłużenia współpracy w kolejnych fazach programu. 5000 PLN za polecenie znajomego do naszych projektów. Szybki, zdalny proces rekrutacyjny. Dziękujemy za wszystkie zgłoszenia. Pragniemy poinformować, że skontaktujemy się z wybranymi osobami. 12170/DK","[{""min"": 150, ""max"": 200, ""type"": ""Net per hour - B2B""}]",Data Architecture,150,200,Net per hour - B2B
Full-time,Senior,B2B,Remote,563,Senior Data Engineer,7N,"O projekcie: Poszukujemy doświadczonych Senior Data Engineer'ów, którzy dołączą do nowo tworzonego w Polsce zespołu specjalizującego się w migracji danych do chmury. Projekt realizowany jest dla międzynarodowej duńskiej organizacji z sektora finansowego. Kluczowym zadaniem będzie zapewnienie płynnej transformacji istniejących rozwiązań oraz stworzenie trwałych fundamentów pod rozwój nowoczesnej platformy danych opartej na architekturze Lakehouse. Praca w 100% zdalna, wymagana otwartość na podróż do Danii na początku projektu. Zakres obowiązków Migracja istniejących rozwiązań danych do środowiska chmurowego Projektowanie oraz implementacja procesów ETL Modelowanie danych oraz tworzenie transformacji danych w oparciu o wymagania użytkowników końcowych Implementacja kontraktów danych i domen danych (np. Umowy, Polisy, Klienci, Roszczenia) Współpraca z interesariuszami w celu zrozumienia wymagań biznesowych Przeprowadzanie testów jakości danych, preferencyjnie automatycznych, i tworzenie mechanizmów kontrolnych zapewniających spójność danych Tworzenie i utrzymywanie dokumentacji technicznej i biznesowej Udział w planowaniu prac z wykorzystaniem Azure DevOps Udział w analizach potrzeb biznesowych i współpraca z lokalnymi przedstawicielami klienta w celu określenia wymagań funkcjonalnych i niefunkcjonalnych. Dbanie o jakość i spójność kodu źródłowego, w tym przestrzeganie dobrych praktyk programistycznych i standardów kodowania przy pracy z SQL i Pythonem. Udział w rozwoju i utrzymaniu fundamentów danych wspierających produkty biznesowe Współpraca z zespołami międzynarodowymi Oczekiwania Minimum 5 lat doświadczenia komercyjnego w roli Data Engineera Doświadczenie w migracji danych i projektowaniu rozwiązań chmurowych Bardzo dobra znajomość języków SQL i Python, w tym umiejętność tworzenia skalowalnych i czytelnych skryptów oraz testów automatycznych Praktyczna znajomość narzędzi z ekosystemu Azure, w szczególności: - Azure Data Factory (ADF) -Databricks - Azure DevOps (zarządzanie backlogiem i planowaniem pracy) - (mile widziana znajomość: Microsoft Purview w zakresie rozumienia, niekoniecznie rozwoju) Doświadczenie w budowaniu procesów ETL oraz tworzeniu i implementacji data pipelines Zrozumienie zasad tworzenia data contracts i domen danych Wiedza z zakresu testowania jakości danych w procesach przetwarzania danych (ETL/ELT), np. Great Expectations – mile widziane Znajomość zagadnień związanych z migracją danych i integracją danych legacy Umiejętność pracy w międzynarodowym zespole oraz komunikacji z interesariuszami - zdolność zrozumienia ich potrzeb i przekształcania ich w wymagania techniczne Mile widziane certyfikaty: Databricks Certified Data Engineer Associate Microsoft Azure Data Fundamentals (DP-900) Mile widziana wiedza domenowa z zakresu ubezpieczeń (w szczególności umów, osób, polis, roszczeń itp.) Bardzo dobra komunikacja w języku angielskim Oferujemy Stałe wsparcie osobistego agenta , dbającego o Twoją ciągłość projektową, kontakt z klientem, niezbędne formalności, komfort pracy oraz rozwój, Consultant Development Program – doradztwo w planowaniu rozwoju w oparciu o najnowsze trendy i potrzeby rynku IT, obejmujące m.in. konsultacje z agentami i mentorami rozwoju , Dostęp do 7N Learning & Development – platformy rozwojowo-edukacyjnej z webinarami, biblioteką artykułów i raportów branżowych oraz regularnymi zaproszeniami na jednorazowe i cykliczne wydarzenia rozwojowe – techniczne, biznesowe oraz life-stylowe, Spektakularne eventy integracyjne, zarówno dla Ciebie (np. coroczny wyjazd Kick-Off , imprezy świąteczne czy sportowe Letnie Igrzyska), jak i dla Twoich bliskich (np. pikniki rodzinne), Rozwój zawodowy nie tylko podczas projektu – możesz zaangażować się w przekazywanie wiedzy innym w ramach oferty 7N Services kierowanej do klientów 7N, Relacje i dostęp do wiedzy najbardziej doświadczonych ekspertów IT na rynku – średni staż zawodowy naszego Konsultanta w Polsce to ponad 10 lat, Pakiet benefitów zaplanowany od A do Z, czyli dofinansowanie do opieki medycznej, ubezpieczenia na życie, karty sportowej dla Ciebie i Twoich bliskich, a także zniżki do sklepów w Polsce i za granicą. O 7N Ciągłe poszukiwanie projektów, trudne negocjacje stawek, brak wsparcia w rozwoju – brzmi znajomo? W 7N zyskujesz nie tylko stabilność kontraktów, ale też zaangażowanie osobistego opiekuna dbającego o Twój komfort zawodowy i stały dostęp do inicjatyw rozwojowych. Naszym celem jest zapewnienie Ci stabilnej i komfortowej współpracy, która przyczyni się do sukcesu Twojego jako eksperta IT oraz naszych klientów. Budujemy trwałe relacje, bazując na skandynawskich wartościach i 30-letnim doświadczeniu w tworzeniu rozwiązań IT dla ponad 200 organizacji.","[{""min"": 160, ""max"": 185, ""type"": ""Net per hour - B2B""}]",Data Engineering,160,185,Net per hour - B2B
Full-time,Mid,Permanent or B2B,Hybrid,564,BI Developer / SQL Developer,Beesafe,"About Us: Join our trailblazing team as we expand our digital horizons. From our beginnings as visionary InsurTech to becoming a key player in the Polish digital insurance market, we are part of the esteemed Vienna Insurance Group. We're redefining the rules in the insurance industry with our innovative approach. Our hybrid working model supports both the collaborative energy of office work and the flexibility of remote work. About the Role: We're seeking passionate BI/SQL Developer to join our team. You'll be at the heart of developing and implementing high-quality application software, using state-of-the-art tools and technologies. This is your chance to make a significant impact on one of the most exciting and unique products in the Polish digital insurance market. Why it is worth to work with us? You’ll be contributing to the reporting solution and data model design of our Data Platform with close cooperation with our Data Engineers You’ll gather business requirements and work closely with business stakeholders You’ll deliver end-to-end business intelligence/reporting solutions using SQL/PowerBI What you need to start the adventure with us: +1 year of commercial experience in data extraction, ETL, and report development Proficiency in SQL Understanding of Relational Database Management System and Business Intelligence concepts Business and collaboration skills, and responsive to service needs and operational demands Domain knowledge gained across the insurance or financial sector Nice to have: Experience with BI tools (Power BI would be a plus) Experience with cloud solutions (we use Azure) Familiarity with code version control systems such as GIT Understanding of the principles of Agile and Scrum (we work in Scrum) Enthusiastic approach to coffee breaks (we love informal discussions with a cup of favorite coffee or tea) Why Join Us? Be part of a dynamic team driving digital innovation in the insurance and eCommerce sectors Opportunity to work in a collaborative and forward-thinking environment Contract options: B2B cooperation Engage in meaningful work that directly impacts business success Join a company that values work-life balance and fosters a positive team culture Comprehensive onboarding, including a dedicated Buddy program Remote work flexibility with hybrid office visits Flexible working hours Access to the latest tools and cloud-native solutions A comprehensive benefits package, including health insurance and MultiSport card Employee discounts on insurance products Referral program and sports club memberships Sounds interesting? Join us and help shape the future! 🚀","[{""min"": 9000, ""max"": 12000, ""type"": ""Net per month - B2B""}, {""min"": 9000, ""max"": 12000, ""type"": ""Gross per month - Permanent""}]",Database Administration,9000,12000,Net per month - B2B
